,Temperature (K),Concentration A (mol/L),Concentration B (mol/L),Reaction Rate (mol/L·s)
0,300,0.1,0.1,0.008727067761615524
1,300,0.1,0.2,0.017454135333984433
2,300,0.1,0.30000000000000004,0.026181202717106736
3,300,0.1,0.4,0.03490826991098243
4,300,0.1,0.5,0.04363533691561153
5,300,0.1,0.6,0.05236240373099403
6,300,0.1,0.7000000000000001,0.06108947035712997
7,300,0.1,0.8,0.06981653679401932
8,300,0.1,0.9,0.07854360304166208
9,300,0.1,1.0,0.0872706691000583
10,300,0.2,0.1,0.017454135333984433
11,300,0.2,0.2,0.034908270289475636
12,300,0.2,0.30000000000000004,0.052362404866473644
13,300,0.2,0.4,0.06981653906497844
14,300,0.2,0.5,0.08727067288499006
15,300,0.2,0.6,0.10472480632650849
16,300,0.2,0.7000000000000001,0.1221789393895338
17,300,0.2,0.8,0.13963307207406592
18,300,0.2,0.9,0.1570872043801049
19,300,0.2,1.0,0.17454133630765079
20,300,0.30000000000000004,0.1,0.026181202717106732
21,300,0.30000000000000004,0.2,0.05236240486647364
22,300,0.30000000000000004,0.30000000000000004,0.07854360644810077
23,300,0.30000000000000004,0.4,0.10472480746198806
24,300,0.30000000000000004,0.5,0.13090600790813564
25,300,0.30000000000000004,0.6,0.15708720778654342
26,300,0.30000000000000004,0.7000000000000001,0.18326840709721157
27,300,0.30000000000000004,0.8,0.2094496058401399
28,300,0.30000000000000004,0.9,0.23563080401532857
29,300,0.30000000000000004,1.0,0.2618120016227776
30,300,0.4,0.1,0.03490826991098243
31,300,0.4,0.2,0.06981653906497844
32,300,0.4,0.30000000000000004,0.10472480746198808
33,300,0.4,0.4,0.1396330751020113
34,300,0.4,0.5,0.17454134198504825
35,300,0.4,0.6,0.20944960811109883
36,300,0.4,0.7000000000000001,0.24435787348016322
37,300,0.4,0.8,0.27926613809224127
38,300,0.4,0.9,0.31417440194733304
39,300,0.4,1.0,0.3490826650454387
40,300,0.5,0.1,0.04363533691561153
41,300,0.5,0.2,0.08727067288499006
42,300,0.5,0.30000000000000004,0.13090600790813564
43,300,0.5,0.4,0.17454134198504825
44,300,0.5,0.5,0.21817667511572797
45,300,0.5,0.6,0.2618120073001748
46,300,0.5,0.7000000000000001,0.3054473385383889
47,300,0.5,0.8,0.34908266883037015
48,300,0.5,0.9,0.39271799817611847
49,300,0.5,1.0,0.43635332657563425
50,300,0.6,0.1,0.052362403730994024
51,300,0.6,0.2,0.10472480632650848
52,300,0.6,0.30000000000000004,0.15708720778654342
53,300,0.6,0.4,0.2094496081110988
54,300,0.6,0.5,0.2618120073001748
55,300,0.6,0.6,0.31417440535377134
56,300,0.6,0.7000000000000001,0.3665368022718885
57,300,0.6,0.8,0.4188991980545264
58,300,0.6,0.9,0.47126159270168483
59,300,0.6,1.0,0.5236239862133641
60,300,0.7000000000000001,0.1,0.061089470357129964
61,300,0.7000000000000001,0.2,0.12217893938953378
62,300,0.7000000000000001,0.30000000000000004,0.18326840709721157
63,300,0.7000000000000001,0.4,0.2443578734801632
64,300,0.7000000000000001,0.5,0.3054473385383889
65,300,0.7000000000000001,0.6,0.36653680227188856
66,300,0.7000000000000001,0.7000000000000001,0.42762626468066245
67,300,0.7000000000000001,0.8,0.4887157257647104
68,300,0.7000000000000001,0.9,0.5498051855240325
69,300,0.7000000000000001,1.0,0.6108946439586288
70,300,0.8,0.1,0.06981653679401932
71,300,0.8,0.2,0.13963307207406592
72,300,0.8,0.30000000000000004,0.20944960584013994
73,300,0.8,0.4,0.27926613809224127
74,300,0.8,0.5,0.34908266883037015
75,300,0.8,0.6,0.41889919805452647
76,300,0.8,0.7000000000000001,0.48871572576471045
77,300,0.8,0.8,0.5585322519609219
78,300,0.8,0.9,0.628348776643161
79,300,0.8,1.0,0.6981652998114279
80,300,0.9,0.1,0.07854360304166208
81,300,0.9,0.2,0.1570872043801049
82,300,0.9,0.30000000000000004,0.23563080401532857
83,300,0.9,0.4,0.31417440194733304
84,300,0.9,0.5,0.39271799817611847
85,300,0.9,0.6,0.47126159270168483
86,300,0.9,0.7000000000000001,0.5498051855240323
87,300,0.9,0.8,0.628348776643161
88,300,0.9,0.9,0.7068923660590706
89,300,0.9,1.0,0.7854359537717616
90,300,1.0,0.1,0.0872706691000583
91,300,1.0,0.2,0.17454133630765079
92,300,1.0,0.30000000000000004,0.2618120016227776
93,300,1.0,0.4,0.3490826650454387
94,300,1.0,0.5,0.43635332657563425
95,300,1.0,0.6,0.5236239862133641
96,300,1.0,0.7000000000000001,0.6108946439586288
97,300,1.0,0.8,0.6981652998114279
98,300,1.0,0.9,0.7854359537717616
99,300,1.0,1.0,0.8727066058396301
100,310,0.1,0.1,0.023021342851475425
101,310,0.1,0.2,0.04604268486549168
102,310,0.1,0.30000000000000004,0.0690640260420488
